modeldate,Barack Obama,Mitt Romney,margin
2012-06-14,46.004156,46.127178,0.12302199999999885
2012-06-15,45.961743,46.185169,0.22342600000000346
2012-06-16,45.862411,46.222289,0.3598780000000019
2012-06-17,46.255619,46.500076,0.24445699999999704
2012-06-18,46.672893,45.924782,0.7481110000000015
2012-06-19,46.714405,46.00689,0.7075150000000008
2012-06-20,46.628333,46.060616,0.5677169999999947
2012-06-21,46.614995,46.08909,0.5259050000000016
2012-06-22,46.686964,46.156227,0.530737000000002
2012-06-23,46.697324,46.146481,0.5508430000000004
2012-06-24,46.584228,46.190675,0.39355300000000426
2012-06-25,46.414296,46.322096,0.09219999999999828
2012-06-26,46.435489,45.667725,0.7677639999999997
2012-06-27,46.716606,45.663452,1.0531539999999993
2012-06-28,46.807032,45.442874,1.3641579999999962
2012-06-29,46.849634,45.445693,1.4039410000000032
2012-06-30,46.863283,45.465799,1.3974840000000057
2012-07-01,46.875776,45.664599,1.2111769999999993
2012-07-02,46.946439,45.690227,1.2562119999999979
2012-07-03,46.965505,45.746584,1.2189210000000017
2012-07-04,46.965505,45.746584,1.2189210000000017
2012-07-05,46.593449,45.629281,0.9641680000000008
2012-07-06,46.569976,45.65765,0.9123260000000002
2012-07-07,46.595206,45.655939,0.939267000000001
2012-07-08,46.34013,45.647544,0.6925859999999986
2012-07-09,46.219074,45.902763,0.3163109999999989
2012-07-10,46.29759,45.85634,0.4412499999999966
2012-07-11,46.568498,45.623093,0.9454050000000009
2012-07-12,46.57564,45.547992,1.0276479999999992
2012-07-13,46.537807,45.742079,0.795728000000004
2012-07-14,46.560327,45.697944,0.8623830000000012
2012-07-15,46.526936,45.87459,0.6523460000000014
2012-07-16,46.617418,45.994007,0.6234109999999973
2012-07-17,46.61926,45.859103,0.7601569999999995
2012-07-18,46.592279,45.95337,0.6389089999999982
2012-07-19,46.719524,45.847454,0.8720700000000008
2012-07-20,46.746124,45.798576,0.9475480000000047
2012-07-21,46.519425,45.870908,0.6485169999999982
2012-07-22,46.52236,45.990983,0.5313769999999991
2012-07-23,46.429424,46.027827,0.4015969999999953
2012-07-24,46.336459,46.155296,0.18116299999999796
2012-07-25,46.553795,46.209449,0.3443460000000016
2012-07-26,46.75718,45.942566,0.8146139999999988
2012-07-27,46.722133,45.955043,0.767089999999996
2012-07-28,46.76423,45.947121,0.817108999999995
2012-07-29,46.759823,46.125523,0.6342999999999961
2012-07-30,46.699989,46.181439,0.5185500000000047
2012-07-31,46.675285,46.19788,0.4774050000000045
2012-08-01,46.677479,46.171278,0.5062009999999972
2012-08-02,46.617786,46.212302,0.4054840000000013
2012-08-03,46.613845,46.245077,0.36876799999999577
2012-08-04,46.564727,46.317636,0.2470909999999975
2012-08-05,47.096697,46.220179,0.8765179999999972
2012-08-06,47.180632,46.228987,0.9516450000000063
2012-08-07,47.507642,45.883347,1.6242949999999965
2012-08-08,47.618981,45.914856,1.7041249999999977
2012-08-09,47.528718,46.171093,1.3576249999999987
2012-08-10,47.494292,45.818843,1.6754490000000004
2012-08-11,47.483834,45.858418,1.6254160000000013
2012-08-12,47.3055,46.332863,0.9726369999999989
2012-08-13,47.20946,46.44388,0.7655799999999999
2012-08-14,47.088503,46.552778,0.5357249999999993
2012-08-15,47.06077,46.536996,0.523773999999996
2012-08-16,46.862556,46.852992,0.009563999999997463
2012-08-17,46.799158,46.853368,0.054210000000004754
2012-08-18,46.671586,46.81931,0.14772400000000374
2012-08-19,46.637545,46.519432,0.11811300000000102
2012-08-20,46.568079,46.680833,0.11275400000000246
2012-08-21,46.433784,46.645399,0.21161499999999478
2012-08-22,46.451616,46.488306,0.03669000000000011
2012-08-23,46.644647,46.679702,0.035054999999999836
2012-08-24,46.671457,46.640496,0.030960999999997796
